fecha,pais,sucursal,linea_producto,unidades,ingreso_usd,devoluciones,dias_credito,canal
2026-04-15,Panamá,Tocumen,Batería Auto,36,3252.56,0,45,Domicilio
2026-04-15,Panamá,Tocumen,Batería Moto,29,1403.94,0,15,Sucursal
2026-04-15,Panamá,Tocumen,Respaldo de Energía,1,356.12,0,15,Sucursal
2026-04-15,Panamá,Tocumen,Energía Solar,1,1519.09,0,0,WhatsApp
2026-04-15,Panamá,Tocumen,Batería Industrial,1,534.79,0,30,Sucursal
2026-04-15,Panamá,David,Servicio a Domicilio,5,312.52,0,60,WhatsApp
2026-04-15,Panamá,David,Respaldo de Energía,1,355.19,0,60,Domicilio
2026-04-15,Panamá,David,Energía Solar,1,1470.18,0,15,Domicilio
2026-04-15,Panamá,David,Batería Industrial,1,527.35,0,30,Call center
2026-04-15,Costa Rica,San José Centro,Batería Auto,40,3922.92,0,15,Domicilio
2026-04-15,Costa Rica,San José Centro,Servicio a Domicilio,7,466.53,0,15,Domicilio
2026-04-15,Costa Rica,San José Centro,Respaldo de Energía,1,359.77,0,15,WhatsApp
2026-04-15,Costa Rica,San José Centro,Energía Solar,1,1370.18,0,0,Sucursal
2026-04-15,Costa Rica,San José Centro,Batería Industrial,1,490.74,0,0,WhatsApp
2026-04-15,Costa Rica,Alajuela,Batería Auto,35,3387.22,0,0,Call center
2026-04-15,Costa Rica,Alajuela,Batería Moto,28,1420.46,0,30,Sucursal
2026-04-15,Costa Rica,Alajuela,Servicio a Domicilio,7,488.76,0,30,Sucursal
2026-04-15,Costa Rica,Alajuela,Respaldo de Energía,2,687.58,0,30,Call center
2026-04-15,Costa Rica,Alajuela,Energía Solar,1,1462.96,0,60,Call center
2026-04-15,Costa Rica,Alajuela,Batería Industrial,1,521.06,0,30,WhatsApp
2026-04-15,Costa Rica,Heredia,Batería Auto,40,3468.49,0,15,Call center
2026-04-15,Costa Rica,Heredia,Batería Moto,20,1035.05,0,0,Domicilio
2026-04-15,Costa Rica,Heredia,Respaldo de Energía,1,"342.58",0,0,Call center
15/04/2026,Costa Rica,Heredia,Energía Solar,1,1378.49,0,45,WhatsApp
2026-04-15,Costa Rica,Heredia,Batería Industrial,1,488.89,0,0,Sucursal
2026-04-15,El Salvador,San Salvador Norte,Batería Auto,29,2628.60,0,30,WhatsApp
2026-04-15,El Salvador,San Salvador Norte,Batería Moto,27,1278.74,0,30,WhatsApp
2026-04-15,El Salvador,San Salvador Norte,Servicio a Domicilio,5,345.67,0,45,WhatsApp
2026-04-15,El Salvador,San Salvador Norte,Respaldo de Energía,1,333.10,0,0,WhatsApp
2026-04-15,El Salvador,San Salvador Norte,Energía Solar,-3,1490.10,0,15,WhatsApp
2026-04-15,El Salvador,Santa Ana,Batería Auto,42,3865.51,1,0,Domicilio
2026-04-15,El Salvador,Santa Ana,Batería Moto,23,1156.65,0,45,Domicilio
2026-04-15,El Salvador,Santa Ana,Servicio a Domicilio,5,338.03,0,0,Sucursal
2026-04-15,El Salvador,Santa Ana,Energía Solar,1,1453.89,0,60,Sucursal
2026-04-15,El Salvador,Soyapango,Batería Auto,27,2418.44,0,0,Call center
2026-04-15,El Salvador,Soyapango,Servicio a Domicilio,5,329.98,0,0,Domicilio
2026-04-15,El Salvador,Soyapango,Respaldo de Energía,1,350.88,0,30,Domicilio
2026-04-15,El Salvador,Soyapango,Batería Industrial,1,561.03,0,30,WhatsApp
2026-04-15,Guatemala,Zona 4,Batería Auto,30,2754.62,1,30,Sucursal
2026-04-15,Guatemala,Zona 4,Batería Moto,28,1356.98,2,30,Call center
2026-04-15,Guatemala,Zona 4,Servicio a Domicilio,7,429.62,0,45,Domicilio
2026-04-15,Guatemala,Zona 4,Energía Solar,1,1425.86,0,30,Sucursal
2026-04-15,Guatemala,Zona 4,Batería Industrial,1,521.47,0,30,Call center
2026-04-15,Guatemala,Mixco,Batería Auto,37,3199.18,1,15,WhatsApp
2026-04-15,Guatemala,Mixco,Batería Moto,26,1247.27,0,0,Sucursal
2026-04-15,Guatemala,Mixco,Servicio a Domicilio,8,514.80,0,60,Sucursal
2026-04-15,Guatemala,Mixco,Respaldo de Energía,1,329.99,0,45,Call center
2026-04-15,Guatemala,Mixco,Energía Solar,1,1565.84,0,0,Sucursal
2026-04-15,Guatemala,Mixco,Batería Industrial,1,486.26,0,60,Sucursal
2026-04-15,Guatemala,Quetzaltenango,Batería auto ,38,3367.23,1,30,WhatsApp
2026-04-15,Guatemala,Quetzaltenango,Batería Moto,22,1108.51,1,0,WhatsApp
2026-04-15,Guatemala,Quetzaltenango,Servicio a Domicilio,7,434.04,0,30,WhatsApp
2026-04-15,Guatemala,Quetzaltenango,Respaldo de Energía,1,360.00,0,30,Domicilio
2026-05-15,Panamá,Vía España,Batería Auto,43,3899.41,0,0,Domicilio
2026-05-15,Panamá,Vía España,Batería Moto,25,1234.37,0,0,WhatsApp
2026-05-15,Panamá,Vía España,Servicio a Domicilio,5,343.57,0,30,Domicilio
2026-05-15,Panamá,Vía España,Energía Solar,1,1454.94,0,0,WhatsApp
2026-05-15,Panamá,Vía España,Batería Industrial,1,534.82,,60,Call center
2026-05-15,Panamá,Tocumen,Servicio a Domicilio,4,266.30,0,0,Domicilio
2026-05-15,Panamá,Tocumen,Respaldo de Energía,2,676.44,0,60,Sucursal
2026-05-15,Panama,Tocumen,Energía Solar,1,1387.48,0,30,Domicilio
2026-05-15,Panamá,Tocumen,Batería Industrial,1,494.41,0,60,Domicilio
2026-05-15,Panamá,David,Batería Auto,35,3327.61,1,15,WhatsApp
2026-05-15,Panamá,David,Batería Moto,19,943.34,0,45,Domicilio
2026-05-15,Panamá,David,Servicio a Domicilio,5,313.97,0,60,Call center
2026-05-15,Panamá,David,Respaldo de Energía,1,341.23,0,30,WhatsApp
2026-05-15,Panamá,David,Energía Solar,1,1442.50,0,0,WhatsApp
2026-05-15,Costa Rica,San José Centro,Batería Moto,30,1426.10,0,15,Call center
2026-05-15,Costa Rica,San José Centro,Respaldo de Energía,1,329.16,0,60,Domicilio
2026-05-15,Costa Rica,San José Centro,Energía Solar,1,1394.63,0,30,Call center
2026-05-15,Costa Rica,Alajuela,Batería Auto,42,4051.30,0,0,Call center
2026-05-15,Costa Rica,Alajuela,Batería Moto,23,1182.43,0,0,Call center
2026-05-15,Costa Rica,Alajuela,Servicio a Domicilio,4,272.17,0,30,Sucursal
2026-05-15,Costa Rica,Alajuela,Respaldo de Energía,2,700.27,0,0,Domicilio
2026-05-15,Costa Rica,Alajuela,Energía Solar,1,1524.38,0,60,WhatsApp
2026-05-15,Costa Rica,Alajuela,Batería Industrial,1,506.90,0,0,WhatsApp
2026-05-15,Costa Rica,Heredia,Batería Auto,29,2717.27,0,0,WhatsApp
2026-05-15,Costa Rica,Heredia,Batería Moto,25,1291.03,0,60,WhatsApp
2026-05-15,Costa Rica,Heredia,Servicio a Domicilio,4,251.71,0,0,Call center
2026-05-15,Costa Rica,Heredia,Respaldo de Energía,1,317.47,0,30,Sucursal
2026-05-15,Costa Rica,Heredia,Energía Solar,1,1550.02,0,0,Call center
2026-05-15,Costa Rica,Heredia,Batería Industrial,1,543.13,0,0,WhatsApp
2026-05-15,El Salvador,San Salvador Norte,BATERÍA AUTO,37,3443.15,0,15,WhatsApp
2026-05-15,El Salvador,San Salvador Norte,Batería Moto,21,1065.72,0,60,WhatsApp
2026-05-15,El Salvador,San Salvador Norte,Respaldo de Energía,1,316.46,0,0,Call center
2026-05-15,El Salvador,San Salvador Norte,Energía Solar,1,1506.96,0,0,Domicilio
2026-05-15,El Salvador,San Salvador Norte,Batería Industrial,1,502.34,0,45,Domicilio
2026-05-15,El Salvador,Santa Ana,BATERÍA AUTO,33,2878.19,0,0,WhatsApp
2026-05-15,El Salvador,Santa Ana,Respaldo de Energía,1,366.96,0,30,Sucursal
2026-05-15,El Salvador,Santa Ana,Energía Solar,1,1531.62,0,45,WhatsApp
2026-05-15,El Salvador,Santa Ana,Batería Industrial,1,555.06,0,0,Domicilio
2026-05-15,El Salvador,Soyapango,Batería Auto,36,3185.64,0,45,Sucursal
2026-05-15,El Salvador,Soyapango,Batería Moto,28,1290.36,0,15,Call center
2026-05-15,El Salvador,Soyapango,Respaldo de Energía,1,318.79,0,45,Call center
2026-05-15,El Salvador,Soyapango,Energía Solar,1,1375.67,0,0,Sucursal
2026-05-15,El Salvador,Soyapango,Batería Industrial,1,552.88,0,60,Sucursal
2026-05-15,Guatemala,Zona 4,Batería Auto,28,2427.88,2,30,Sucursal
2026-05-15,Guatemala,Zona 4,Batería Moto,25,1148.68,1,30,Call center
2026-05-15,Guatemala,Zona 4,Servicio a Domicilio,4,278.59,0,0,Sucursal
2026-05-15,Guatemala,Zona 4,Respaldo de Energía,1,"333.15",0,0,WhatsApp
2026-05-15,Guatemala,Zona 4,Energía Solar,1,1501.89,0,0,Call center
15/05/2026,Guatemala,Mixco,Batería Auto,43,3707.43,2,15,Domicilio
2026-05-15,Guatemala,Mixco,Servicio a Domicilio,4,271.20,0,0,WhatsApp
2026-05-15,Guatemala,Mixco,Respaldo de Energía,1,366.81,0,0,Domicilio
2026-05-15,Guatemala,Mixco,Energía Solar,1,1350.35,0,15,Sucursal
2026-05-15,Guatemala,Quetzaltenango,Batería Auto,34,2980.57,2,60,WhatsApp
2026-05-15,Guatemala,Quetzaltenango,Batería Moto,26,1267.58,1,15,Call center
2026-05-15,Guatemala,Quetzaltenango,Servicio a Domicilio,3,206.33,0,60,Sucursal
2026-05-15,Guatemala,Quetzaltenango,Respaldo de Energía,1,335.51,0,15,Domicilio
2026-05-15,Guatemala,Quetzaltenango,Batería Industrial,1,495.17,0,45,Sucursal
2026-06-15,Panamá,Vía España,Batería Auto,41,3651.81,0,0,Sucursal
2026-06-15,Panamá,Vía España,Batería Moto,26,1339.93,0,15,Domicilio
2026-06-15,Panamá,Vía España,Servicio a Domicilio,3,190.96,0,30,Call center
2026-06-15,Panamá,Vía España,Respaldo de Energía,1,324.20,0,0,Domicilio
2026-06-15,PANAMÁ,Vía España,Energía Solar,1,1485.32,0,60,Call center
2026-06-15,Panamá,Vía España,Batería Industrial,1,555.90,0,0,Sucursal
2026-06-15,Panama,Tocumen,Batería Auto,28,2672.36,0,30,Call center
2026-06-15,Panamá,Tocumen,Servicio a Domicilio,3,202.55,0,60,Sucursal
2026-06-15,Panamá,Tocumen,Energía Solar,1,1481.18,0,60,Domicilio
2026-06-15,Panamá,Tocumen,Batería Industrial,1,538.92,0,30,Sucursal
2026-06-15,Panamá,David,Batería Moto,20,1012.25,0,60,Call center
2026-06-15,Panamá,David,Servicio a Domicilio,3,190.04,0,0,WhatsApp
2026-06-15,Panamá,David,Respaldo de Energía,1,356.13,0,30,Call center
15/06/2026,Panamá,David,Energía Solar,1,1481.25,0,15,WhatsApp
2026-06-15,Panamá,David,Batería Industrial,1,546.02,0,45,WhatsApp
2026-06-15,Costa Rica,San José Centro,Batería Auto,30,2624.59,0,30,Sucursal
2026-06-15,Costa Rica,San José Centro,Batería Moto,22,1088.38,0,30,WhatsApp
2026-06-15,Costa Rica,San José Centro,Servicio a Domicilio,2,120.90,0,30,Call center
2026-06-15,Costa Rica,San José Centro,Respaldo de Energía,1,344.31,0,30,Domicilio
2026-06-15,Costa Rica,San José Centro,Energía Solar,1,1556.15,0,0,Domicilio
2026-06-15,Costa Rica,San José Centro,Batería Industrial,1,522.03,0,0,Domicilio
2026-06-15,Costa Rica,Alajuela,Batería Auto,40,3852.93,0,15,WhatsApp
2026-06-15,Costa Rica,Alajuela,Batería Moto,24,1183.93,0,0,Call center
2026-06-15,Costa Rica,Alajuela,Servicio a Domicilio,3,203.53,0,30,Domicilio
2026-06-15,Costa Rica,Alajuela,Respaldo de Energía,1,348.02,0,0,Domicilio
